,Unnamed: 0,Unnamed: 0.1,cord_uid,sha,source_x,title,doi,pmcid,pubmed_id,license,abstract,publish_time,authors,journal,mag_id,who_covidence_id,arxiv_id,pdf_json_files,pmc_json_files,url,s2_id,cluster
564,564,587,nv228vte,1a7676018fd73150a122c2afb1362324dbab4918,PMC,A sensitive array-based assay for identifying multiple TMPRSS2:ERG fusion gene variants,10.1093/nar/gkn585,PMC2582611,18794177.0,cc-by-nc,study gene fusion solid tumor extensive hematological malignancy due several technical analytical problem associated tumor heterogeneity nevertheless growing interest role fusion gene common epithelial tumor discovery recurrent tmprssets fusion prostate cancer among reported fusion partner ets gene family tmprsserg prevalent one present simple sensitive microarraybased assay able simultaneously determine multiple fusion variant single rt–pcr impure rna specimen assay detected tmprsserg fusion transcript detection sensitivity cell presence time excess normal rna primary prostate tumor cancer cell ability detect multiple transcript variant single assay critically dependent primer probe design assay facilitate clinical basic study fusion gene screening clinical specimen readily adapted include multiple gene locus,2008-09-15,"Lu, Qing; Nunez, Esperanza; Lin, Chunrun; Christensen, Kimberly; Downs, Tracy; Carson, Dennis A.; Wang-Rodriguez, Jessica; Liu, Yu-Tsueng",Nucleic Acids Res,,,,document_parses/pdf_json/1a7676018fd73150a122c2afb1362324dbab4918.json,document_parses/pmc_json/PMC2582611.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2582611/,,12
576,576,600,xu9llz9u,18e4bf7e0c2d81caa5795174a4f25d5a035e09b1,PMC,A Novel Peptide Enhances Therapeutic Efficacy of Liposomal Anti-Cancer Drugs in Mice Models of Human Lung Cancer,10.1371/journal.pone.0004171,PMC2614347,19137069.0,cc-by,lung cancer leading cause cancerrelated mortality worldwide lack tumor specificity remains major drawback effective chemotherapy result doselimiting toxicity however ligandmediated drug delivery system able render chemotherapy specific tumor cell le toxic normal tissue study isolated novel peptide ligand phagedisplayed peptide library bound nonsmall cell lung cancer nsclc cell line targeting phage bound several nsclc cell line normal cell targeting phage synthetic peptide recognized surgical specimen nsclc positive rate specimen severe combined immunodeficiency scid mouse bearing nsclc xenograft targeting phage specifically bound tumor mass tumor homing ability targeting phage inhibited cognate synthetic peptide control wtymutated peptide targeting peptide coupled liposome carrying doxorubicin vinorelbine therapeutic index chemotherapeutic agent survival rate mouse human lung cancer xenograft markedly increased furthermore targeting liposome increased drug accumulation tumor tissue fold compared free drug enhanced cancer cell apoptosis resulting higher concentration bioavailable doxorubicin current study suggests tumorspecific peptide may used create chemotherapy specifically targeting tumor cell treatment nsclc design targeted gene transfer vector may used one diagnosis malignancy,2009-01-12,"Chang, De-Kuan; Lin, Chin-Tarng; Wu, Chien-Hsun; Wu, Han-Chung",PLoS One,,,,document_parses/pdf_json/18e4bf7e0c2d81caa5795174a4f25d5a035e09b1.json,document_parses/pmc_json/PMC2614347.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2614347/,,12
619,619,647,533xlisc,63205fe99a388f19fde06f422c9ce6c1ddfc52f4,PMC,"Remission of Invasive, Cancer Stem-Like Glioblastoma Xenografts Using Lentiviral Vector-Mediated Suicide Gene Therapy",10.1371/journal.pone.0006314,PMC2707627,19617915.0,cc-by,background glioblastoma frequent malignant primary brain tumor poor prognosis translation therapeutic strategy glioblastoma experimental phase clinic limited insufficient animal model lack important feature human tumor lentiviral gene therapy attractive therapeutic option human glioblastoma validated clinically relevant animal model methodologyprincipal finding used rodent xenograft model recapitulates invasive angiogenic feature human glioblastoma analyze transduction pattern therapeutic efficacy lentiviral pseudotyped vector lymphocytic choriomeningitis virus glycoprotein lcmvgp vesicular stomatitis virus glycoprotein vsvg pseudotyped lentiviral vector efficiently transduced human glioblastoma cell vitro vivo contrast pseudotyped gammaretroviral vector similar evaluated clinical therapy glioblastoma showed inefficient gene transfer vitro vivo pseudotyped lentiviral vector transduced cancer stemlike cell characterized cd nestin soxexpression ability form spheroid neural stem cell medium express astrocytic neuronal differentiation marker serum condition therapeutic approach using suicide gene herpes simplex virus thymidine kinase hsvtk fused egfp lentiviral vector mediated complete remission solid tumor seen mri resulting highly significant survival benefit p compared control group recurrent tumor surviving egfppositive tumor cell found advocating prodrug application several cycle even enhance prolong therapeutic effect conclusionssignificance conclusion lentiviral pseudotyped vector promising candidate gene therapy glioma patient inefficient gene delivery gammaretroviral vector line result obtained clinical therapy gbm thus confirms high reproducibility invasive glioma animal model translational research,2009-07-20,"Huszthy, Peter C.; Giroglou, Tsanan; Tsinkalovsky, Oleg; Euskirchen, Philipp; Skaftnesmo, Kai Ove; Bjerkvig, Rolf; von Laer, Dorothee; Miletic, Hrvoje",PLoS One,,,,document_parses/pdf_json/63205fe99a388f19fde06f422c9ce6c1ddfc52f4.json,document_parses/pmc_json/PMC2707627.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2707627/,,12
766,766,806,hd12p867,a4ee99345c99a1f9806c8d17dc7e6accaf5309d6,PMC,Peptide-Mediated Liposomal Drug Delivery System Targeting Tumor Blood Vessels in Anticancer Therapy,10.1155/2010/723798,PMC2864512,20454584.0,cc-by,solid tumor known recruit new blood vessel support growth therefore unique molecule expressed tumor endothelial cell function target antiangiogenic therapy cancer current effort focusing developing therapeutic agent capable specifically targeting cancer cell tumorassociated microenvironments including tumor blood vessel therapy hold promise high efficacy low toxicity one recognized strategy improving therapeutic effectiveness conventional chemotherapeutics encapsulate anticancer drug targeting liposome bind cell surface receptor expressed tumorassociated endothelial cell antiangiogenic drug delivery system could used target tumor blood vessel well tumor cell article review mechanism advantage various present potential method using peptideconjugated liposome specifically destroy tumor blood vessel anticancer therapy,2010-05-05,"Wu, Han-Chung; Chang, De-Kuan",J Oncol,,,,document_parses/pdf_json/a4ee99345c99a1f9806c8d17dc7e6accaf5309d6.json,document_parses/pmc_json/PMC2864512.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2864512/,,12
983,983,1038,pe0dqif1,3887add10c9910d44375b33854a507cc500110c4,PMC,Claudins in lung diseases,10.1186/1465-9921-12-70,PMC3128860,21619599.0,cc-by,tight junction apically localized part epithelial junctional complex regulate permeability polarity cell layer create compartment cell membrane claudins structural molecule tight junction claudins known expression different claudins responsible change electrolyte solute permeability cell layer study shown claudins tight junction also protect multicellular organism infection infectious agent may use claudins target invade weaken host defense neoplastic disease claudin expression may downregulated since expression associated specific tumor type specific location tumor certain degree restricted sense also used tumor marker however regulation claudin expression complex involving growth factor integrins protein kinase protooncogens transcription factor review significance claudins discussed lung disease development,2011-05-27,"Soini, Ylermi",Respir Res,,,,document_parses/pdf_json/3887add10c9910d44375b33854a507cc500110c4.json,document_parses/pmc_json/PMC3128860.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3128860/,,12
1559,1559,1680,ertnvzwk,9f9f59f3137c9871b1a0d7bfe92b9b9f4087b24b,PMC,Mannosylated Lipid Nano-emulsions Loaded with Lycorine-oleic Acid Ionic Complex for Tumor Cell-specific Delivery,10.7150/thno.4525,PMC3516834,23227126.0,cc-by-nc-nd,study prepare mannosylated lycorine lipid nanoemulsion formulation mlycoalnes aim achieving tumor targeting delivery lycorine lyc low lipophilicity lyc made hard dispersed lipid nanoemulsions lnes order increase lipophilicity lycorineoleic acid ionic complex lycoa made mlycoalnes uncoated lycorineoleic acid loaded lipid nanoemulsions lycoalnes prepared solvent injection method characterized transmission electron microscopy tem particle size polydispersity index zetapotential entrapment efficiency analysis vitro cellular uptake growth inhibition activity study performed cell line entrapment efficiency mlycoalnes ± cellular uptake study showed coated lnes preferably taken cell uncoated lnes effective test mtt assay showed better growth inhibition activity mlycoalnes cell line compared lycoalnes blank lnes result demonstrated mlycoalnes could promising formulation tumor targeting delivery lyc potential applied diagnosis treatment cancer,2012-11-19,"Guo, Yangming; Liu, Xing; Sun, Xun; Zhang, Qiang; Gong, Tao; Zhang, Zhirong",Theranostics,,,,document_parses/pdf_json/9f9f59f3137c9871b1a0d7bfe92b9b9f4087b24b.json,document_parses/pmc_json/PMC3516834.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3516834/,,12
1633,1633,1757,ay5p49xh,b16173612f53649fbd4db78654874bee5d4d607f,PMC,An independent endocytic pathway stimulates different monocyte subsets by the a2 N-terminus domain of vacuolar-ATPase,10.4161/onci.22978,PMC3583941,23483532.0,cc-by-nc,vacuolar atpase vatpase play important role tumor progression metastasis novel peptide isoform vatpase called antd shown exert immunoregulatory role tumor microenvironment controlling maturation monocyte toward tumorassociated macrophage phenotype data indicate antd bind surface monocyte antd preferentially endocytosed proinflammatory monocyte bearing cdcd phenotype associated monocytetomacrophage maturation process antd binding internalization led production proinflammatory cytokine interleukin ilα ilβ cdcd classical cdcd intermediate monocyte antd internalized via macropinocytosis mechanism utilizing scavenger receptor however inhibition antd endocytosis reduce cytokine production monocyte point existence two receptor respond antd scavenger receptor mediate cellular uptake hitherto unidentified receptor stimulating production inflammatory cytokine monocyte receptor may important generating localized inflammation often required promote tumor growth hence may constitute novel target development anticancer drug,2013-01-01,"Kwong, Christina; Gilman-Sachs, Alice; Beaman, Kenneth",Oncoimmunology,,,,document_parses/pdf_json/b16173612f53649fbd4db78654874bee5d4d607f.json,document_parses/pmc_json/PMC3583941.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3583941/,,12
1963,1963,2105,9kroonl1,2bae24fa42f6bd7e9a241b4456296f3af0ee4b2c,PMC,Glioblastoma extracellular vesicles: reservoirs of potential biomarkers,10.2147/pgpm.s39768,PMC3952682,24634586.0,cc-by-nc,glioblastoma multiforme gbm frequent devastating primary central nervous system tumor patient living beyond year postdiagnosis damage caused disease treatment patient often leave physically cognitively debilitated generally gbms appear short clinical history discovered imaging using magnetic resonance imaging mri diagnosis validated pathology following surgical resection treatment response diagnosis tumor recurrence also tracked mri numerous problem encountered monitoring modality ambiguous interpretation form pseudoprogression diagnostic prognostic predictive biomarkers would immense boon following treatment scheme determining recurrence often requires invasive intracranial biopsy verify imaging data extracellular vesicle ev stable membraneenclosed virussized particle released either cell surface endosomal pathway lead systemic release ev accessible biofluids serumplasma urine cerebrospinal fluid saliva ev carry wide variety protein nucleic acid lipid metabolite many common feature enough individuality able identify cell origin vesicle component properly interrogated could allow identification tumorderived ev biofluids indicating tumor progression relapse treatment failure knowledge would allow clinician continue treatment regimen actually effective change course therapy failing review feature gbm ev term ev content activity may lead use ev serially accessible biomarkers diagnosis treatment response neurooncology,2014-02-13,"Redzic, Jasmina S; Ung, Timothy H; Graner, Michael W",Pharmgenomics Pers Med,,,,document_parses/pdf_json/2bae24fa42f6bd7e9a241b4456296f3af0ee4b2c.json,document_parses/pmc_json/PMC3952682.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3952682/,,12
2106,2106,2253,na8xecga,3c43e9e66c5b384ac03f0067bc8d16a9efdd5fb9; 8dcc9848e421e45ac829203e4e6fe58e6ac130e5,PMC,Choindroitinase ABC I-Mediated Enhancement of Oncolytic Virus Spread and Anti Tumor Efficacy: A Mathematical Model,10.1371/journal.pone.0102499,PMC4105445,25047810.0,cc-by,oncolytic virus genetically engineered virus designed kill cancer cell minimal damage normal healthy tissue injected tumor infect cancer cell multiply inside cancer cell killed move spread infect cancer cell chondroitinase abc chaseabc bacterial enzyme remove major glioma ecm component chondroitin sulfate glycosoamino glycans proteoglycans without deleterious effect vivo shown chaseabc treatment able promote spread virus increasing efficacy viral treatment paper develop mathematical model investigate effect chaseabc treatment glioma oncolytic virus ov show model prediction agree experimental result spherical glioma use model test various treatment option heterogeneous microenvironment brain model predicts separate injection ov one center tumor another outside tumor result better outcome total injection outside tumor particular injection ecmdegrading enzyme chaseabc periphery main tumor core need administered optimal strategy order infect eradicate infiltrating glioma cell outside tumor core addition proliferative cell bulk tumor core model also predicts size tumor satellite distance primary tumor multifocalsatellite lesion may important factor efficacy viral therapy chase treatment,2014-07-21,"Kim, Yangjin; Lee, Hyun Geun; Dmitrieva, Nina; Kim, Junseok; Kaur, Balveen; Friedman, Avner",PLoS One,,,,document_parses/pdf_json/3c43e9e66c5b384ac03f0067bc8d16a9efdd5fb9.json; document_parses/pdf_json/8dcc9848e421e45ac829203e4e6fe58e6ac130e5.json,document_parses/pmc_json/PMC4105445.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4105445/,,12
2319,2319,2477,gbf3ivzc,f762eef06ad6975bb55dc425f10e33101d378379,PMC,Introduction of a point mutation into an HLA class I single-chain trimer induces enhancement of CTL priming and antitumor immunity,10.1038/mtm.2014.27,PMC4362367,26015969.0,cc-by-nc-sa,previously discovered one particular hlaa mutant enhanced peptidespecific cytotoxic lymphocyte ctl recognition vitro compared wildtype hlaa mutant contains single amino acid substitution histidine leucine position hl located peptidebinding groove investigate effect hl mutation vivo ctl priming took advantage technology hla class singlechain trimer sct three component involving peptide β microglobulin hla class heavy chain joined together via flexible linkers generated recombinant adenovirus expressing sct comprised influenza matrix protein fmpderived peptide β microglobulin hl heavy chain hlaa transgenic mouse immunized adenovirus induction peptidespecific ctls antitumor immunity investigated clearly shown hl mutation enabled hlaa sct molecule dramatically enhance vivo priming fmpspecific ctls protection lethal challenge tumor cell expressing fmp data present first evidence simple point mutation hla class heavy chain sct beneficial improving ctlbased immunotherapy prophylaxis control tumor,2014-07-02,"Matsui, Masanori; Kawano, Masaaki; Matsushita, Sho; Akatsuka, Toshitaka",Mol Ther Methods Clin Dev,,,,document_parses/pdf_json/f762eef06ad6975bb55dc425f10e33101d378379.json,document_parses/pmc_json/PMC4362367.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4362367/,,12
